state,district,stage,type,date,schools
Sarawak,Sibu,secondary,Sekolah Menengah Kerajaan,1/1/2018,24
Sarawak,Simunjan,secondary,Sekolah Menengah Kerajaan,1/1/2018,4
Sarawak,Song,secondary,Sekolah Menengah Kerajaan,1/1/2018,2
Sarawak,Sri Aman,secondary,Sekolah Menengah Kerajaan,1/1/2018,5
Sarawak,Subis,secondary,Sekolah Menengah Kerajaan,1/1/2018,2
Sarawak,Tatau,secondary,Sekolah Menengah Kerajaan,1/1/2018,1
Selangor,Gombak,secondary,Sekolah Menengah Kerajaan,1/1/2018,36
Selangor,Klang,secondary,Sekolah Menengah Kerajaan,1/1/2018,40
Selangor,Kuala Langat,secondary,Sekolah Menengah Kerajaan,1/1/2018,17
Selangor,Kuala Selangor,secondary,Sekolah Menengah Kerajaan,1/1/2018,21
Selangor,Petaling,secondary,Sekolah Menengah Kerajaan,1/1/2018,77
Selangor,Sabak Bernam,secondary,Sekolah Menengah Kerajaan,1/1/2018,17
Selangor,Sepang,secondary,Sekolah Menengah Kerajaan,1/1/2018,13
Selangor,Ulu Langat,secondary,Sekolah Menengah Kerajaan,1/1/2018,40
Selangor,Ulu Selangor,secondary,Sekolah Menengah Kerajaan,1/1/2018,17
Terengganu,Besut,secondary,Sekolah Menengah Kerajaan,1/1/2018,22
Terengganu,Dungun,secondary,Sekolah Menengah Kerajaan,1/1/2018,24
Terengganu,Hulu Terengganu,secondary,Sekolah Menengah Kerajaan,1/1/2018,16
Terengganu,Kemaman,secondary,Sekolah Menengah Kerajaan,1/1/2018,24
Terengganu,Kuala Nerus,secondary,Sekolah Menengah Kerajaan,1/1/2018,16
Terengganu,Kuala Terengganu,secondary,Sekolah Menengah Kerajaan,1/1/2018,23
Terengganu,Marang,secondary,Sekolah Menengah Kerajaan,1/1/2018,13
Terengganu,Setiu,secondary,Sekolah Menengah Kerajaan,1/1/2018,13
Kuala Lumpur,W.P. Kuala Lumpur,secondary,Sekolah Menengah Kerajaan,1/1/2018,104
Labuan,W.P. Labuan,secondary,Sekolah Menengah Kerajaan,1/1/2018,10
Putrajaya,W.P. Putrajaya,secondary,Sekolah Menengah Kerajaan,1/1/2018,11
